Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
SUD,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",,"Sayed Abdel Gadir",M
SUD,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",,"Ibrahim Saad Abdel Galil",M
SUD,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",,"Ibrahim Saad Abdel Galil",M
EGY,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,"Heba Abdel Gawad",F
EGY,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",,"Heba Abdel Gawad",F
EGY,Canoeing,"Canoeing Women's Kayak Singles, Slalom",,"Sara Abdel Gawad",F
EGY,Cycling,"Cycling Men's 1 mile",,"Gamal Amin Abdel Ghani",M
UAR,Cycling,"Cycling Men's 1,000 metres Time Trial",,"Abdel Sattar Abdel Hadj",M
EGY,Cycling,"Cycling Men's 1/2 mile",,"Ragy Abdel Hady",M
EGY,Cycling,"Cycling Men's 1/3 mile",,"Osman Abdel Hafeez",M
EGY,Cycling,"Cycling Men's 1/3 mile",,"Osman Abdel Hafeez",M
EGY,Cycling,"Cycling Men's 1/3 mile",,"Osman Abdel Hafeez",M
EGY,Cycling,"Cycling Men's 1/3 mile",,"Osman Abdel Hafeez",M
EGY,Cycling,"Cycling Men's 1/3 mile",,"Osman Abdel Hafeez",M
UAR,Cycling,"Cycling Men's 1/4 mile",,"Mohamed Abdel Hafiz",M
EGY,Cycling,"Cycling Men's 100 kilometres",,"Moustafa Ali Abdel Halim",M
EGY,Cycling,"Cycling Men's 100 kilometres Team Time Trial",,"Mohamed Abdel Hamed",M
SUD,Cycling,"Cycling Men's 2 mile",,"Hwad Ibrahim Abdel Hamid Lumomba",M
EGY,Cycling,"Cycling Men's 20 kilometres",,"Ibrahim Abdel Hamid",M
EGY,Cycling,"Cycling Men's 25 mile",,"Tamer Mohamed Abdel Hamid",M
EGY,Cycling,"Cycling Men's 5 mile",,"Ahmed El-Sayed Abdel Hamid Mobarak",M
EGY,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
EGY,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
EGY,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
EGY,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
EGY,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
UAR,Cycling,"Cycling Men's 5,000 metres",,"Dorri Abdel Kader Said",M
UAR,Cycling,"Cycling Men's 50 kilometres",,"Moustafa Mounib Abdel Kader",M
EGY,Cycling,"Cycling Men's BMX",,"Mohamed Ali Abdel Kerim",M
UAR,Cycling,"Cycling Men's BMX",,"Mohamed Ali Abdel Kerim",M
TUN,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",,"Mohamed Abdel Khaled",M
EGY,Cycling,"Cycling Men's Individual Time Trial",,"Abdel Latif Abdel Latif",M
EGY,Cycling,"Cycling Men's Keirin",,"Walid Abdel Maksoud",M
EGY,Cycling,"Cycling Men's Madison",,"Amir Abdel Meguid",M
EGY,Cycling,"Cycling Men's Madison",,"Amir Abdel Meguid",M
EGY,Cycling,"Cycling Men's Mountainbike, Cross-Country",,"Mohamed Abdel Mohamed",M
EGY,Cycling,"Cycling Men's Omnium",,"Karim Abdel Mohsen",M
EGY,Cycling,"Cycling Men's Points Race",,"Awad Abdel Nabi Awad",M
EGY,Cycling,"Cycling Men's Points Race",,"Awad Abdel Nabi Awad",M
EGY,Cycling,"Cycling Men's Road Race, Individual",,"Ahmed Abdel Naeim",M
EGY,Cycling,"Cycling Men's Road Race, Individual",,"Ahmed Abdel Naeim",M
LBA,Cycling,"Cycling Men's Road Race, Team",,"Moustafa Abdel Naser",M
EGY,Cycling,"Cycling Men's Sprint",,"Ali Abdel Radi",M
UAR,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",,"Amin Abdel Rahman",M
EGY,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",,"Amin Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 1,980 yards",,"Mohamed Fathallah Abdel Rahman",M
EGY,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",,"Fathi Ali Abdel Rahman",M
UAR,Cycling,"Cycling Men's Team Sprint",,"Ibrahim Abdel Rahman",M
EGY,Cycling,"Cycling Women's 500 metres Time Trial",,"Khaled Abdel Rahman",M
EGY,Cycling,"Cycling Women's BMX",,"Sameh Abdel Rahman",M
UAR,Cycling,"Cycling Women's BMX",,"Sameh Abdel Rahman",M
EGY,Cycling,"Cycling Women's BMX",,"Sameh Abdel Rahman",M
EGY,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",,"Yasser Abdel Rahman Sakr",M
EGY,Cycling,"Cycling Women's Individual Time Trial",,"Samy Abdel Razek",M
EGY,Cycling,"Cycling Women's Individual Time Trial",,"Samy Abdel Razek",M
EGY,Cycling,"Cycling Women's Individual Time Trial",,"Samy Abdel Razek",M
EGY,Cycling,"Cycling Women's Keirin",,"Mohamed Youssef Abdel Razik",M
EGY,Cycling,"Cycling Women's Mountainbike, Cross-Country",,"Ibrahim Ahmed Abdel Rehim",M
EGY,Cycling,"Cycling Women's Omnium",,"Kamal Abdel Rehim",M
EGY,Cycling,"Cycling Women's Points Race",,"Reskalla Mohamed Abdel Rehim",M
EGY,Cycling,"Cycling Women's Road Race, Individual",,"Ahmed Ali Abdel Samad",M
EGY,Cycling,"Cycling Women's Sprint",,"Ali Abdel Sami",M
UAR,Cycling,"Cycling Women's Team Pursuit",,"Mohamed Abdel Sami",M
EGY,Cycling,"Cycling Women's Team Sprint",,"Sameh Abdel Waress Muhammad",M
EGY,Diving,"Diving Men's Plain High",,"Mohamed Said Abdel Wehab",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Platform",,"Mahmoud Abdel-Aal",M
EGY,Diving,"Diving Men's Springboard",,"Mohamed Abdel-El",M
EGY,Diving,"Diving Men's Synchronized Platform",,"Shaimaa Abdel-Latif-Hashad",F
EGY,Diving,"Diving Men's Synchronized Platform",,"Shaimaa Abdel-Latif-Hashad",F
EGY,Diving,"Diving Men's Synchronized Platform",,"Shaimaa Abdel-Latif-Hashad",F
SUD,Diving,"Diving Men's Synchronized Springboard",,"Sanad Bushara Abdel-Nadif",M
EGY,Diving,"Diving Women's Plain High",,"Ahmed Abdelaal",M
EGY,Diving,"Diving Women's Platform",,"Mahmoud Abdelaal",M
EGY,Diving,"Diving Women's Springboard",,"Mohamed Ali Abdelaal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Platform",,"Moustafa Abdelal",M
EGY,Diving,"Diving Women's Synchronized Springboard",,"Mahmod Abdelaly",M
EGY,Equestrianism,"Equestrianism Men's Dressage, Individual",,"Ibrahim Ramadan Ibrahim Abdelbaki",M
EGY,Equestrianism,"Equestrianism Men's Dressage, Individual",,"Ibrahim Ramadan Ibrahim Abdelbaki",M
EGY,Equestrianism,"Equestrianism Men's Dressage, Team",,"Aziza Abdelfattah",F
SUD,Equestrianism,"Equestrianism Men's Jumping, Individual",,"Abdalla Abdelgadir El-Sheikh",M
EGY,Equestrianism,"Equestrianism Men's Jumping, Team",,"Magdi Abdelghani Sayed Ahmed",M
EGY,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",,"Ragab Abdelhay Saad Abdelrazek Abdallah",M
EGY,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",,"Ragab Abdelhay Saad Abdelrazek Abdallah",M
FRA,Equestrianism,"Equestrianism Men's Three-Day Event, Team",,"Ben Ahmed Abdelkrim",M
EGY,Equestrianism,"Equestrianism Men's Vaulting, Individual",,"Mohamed Abdellah",M
EGY,Equestrianism,"Equestrianism Men's Vaulting, Individual",,"Mohamed Abdellah",M
ALG,Equestrianism,"Equestrianism Men's Vaulting, Team",,"Ayoub Abdellaoui",M
EGY,Equestrianism,"Equestrianism Mixed Dressage, Individual",,"Leila Abdelmoez",F
EGY,Equestrianism,"Equestrianism Mixed Dressage, Team",,"Sayed Abdelmonem Sayed Hamed",M
EGY,Equestrianism,"Equestrianism Mixed Jumping, Individual",,"Ahmed Abdelrahman",M
EGY,Equestrianism,"Equestrianism Mixed Jumping, Team",,"Ihab Abdelrahman El-Sayed Abdelrahman",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,"Raouf Abdelraouf",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,"Raouf Abdelraouf",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,"Raouf Abdelraouf",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,"Raouf Abdelraouf",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",,"Raouf Abdelraouf",M
EGY,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",,"Abouelfetoh Abdelrazek",M
EGY,Fencing,"Fencing Men's epee, Individual",,"Mamdouh Abdelrehim",M
ALG,Fencing,"Fencing Men's epee, Team",,"El-Hachemi Abdenouz",M
ALG,Fencing,"Fencing Men's Foil, Individual",,"Rda Abdenouz",M
ALG,Fencing,"Fencing Men's Foil, Individual",,"Rda Abdenouz",M
ALG,Fencing,"Fencing Men's Foil, Team",,"Mouni Abderrahim",F
ALG,Fencing,"Fencing Men's Foil, Team",,"Mouni Abderrahim",F
IRI,Fencing,"Fencing Men's Sabre, Individual",,"Saeid Morad Abdevali",M
BEL,Fencing,"Fencing Men's Sabre, Team",,"Bashir Abdi",M
BEL,Fencing,"Fencing Men's Sabre, Team",,"Bashir Abdi",M
AUS,Fencing,"Fencing Men's Single Sticks, Individual",,"Youcef Abdi",M
AUS,Fencing,"Fencing Men's Single Sticks, Individual",,"Youcef Abdi",M
QAT,Fencing,"Fencing Women's epee, Individual",,"Jamal Abdi Hassan Abdullah",M
QAT,Fencing,"Fencing Women's epee, Individual",,"Jamal Abdi Hassan Abdullah",M
DJI,Fencing,"Fencing Women's epee, Team",,"Talal Omar Abdillahi",M
DJI,Fencing,"Fencing Women's epee, Team",,"Talal Omar Abdillahi",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
EGY,Fencing,"Fencing Women's Foil, Individual",,"Mahmoud Ahmed Abdin",M
USA,Fencing,"Fencing Women's Foil, Team",,"Abdihakim "Abdi" Abdirahman",M
USA,Fencing,"Fencing Women's Foil, Team",,"Abdihakim "Abdi" Abdirahman",M
USA,Fencing,"Fencing Women's Foil, Team",,"Abdihakim "Abdi" Abdirahman",M
USA,Fencing,"Fencing Women's Foil, Team",,"Abdihakim "Abdi" Abdirahman",M
AUS,Fencing,"Fencing Women's Sabre, Individual",,"Ali Abdo",M
AUS,Fencing,"Fencing Women's Sabre, Individual",,"Ali Abdo",M
AUS,Fencing,"Fencing Women's Sabre, Individual",,"Ali Abdo",M
PLE,Fencing,"Fencing Women's Sabre, Team",,"Hamza Abdo",M
CAN,"Figure Skating","Figure Skating Men's Singles",,"Reema Abdo",F
CAN,"Figure Skating","Figure Skating Men's Singles",,"Reema Abdo",F
SUD,"Figure Skating","Figure Skating Men's Special Figures",,"Ahmed Abdo Mustafa",M
IRI,"Figure Skating","Figure Skating Mixed Pairs",,"Nasrollah Abdollahi",M
CMR,"Figure Skating","Figure Skating Women's Singles",,"Yhyacinthe Mewoli Abdon",M
COM,Football,"Football Men's Football",,"Hassane Abdou",M
CAN,Football,"Football Women's Football",,"Justin Abdou",M
EGY,Golf,"Golf Men's Individual",,"Moustafa Ahmed Ismail Abdou Ali Arfah",M
EGY,Golf,"Golf Men's Team",,"Raouf Abdou",M
EGY,Golf,"Golf Women's Individual",,"Mohamed Abdou El-Souad",M
EGY,Golf,"Golf Women's Individual",,"Mohamed Abdou El-Souad",M
EGY,Golf,"Golf Women's Individual",,"Mohamed Abdou El-Souad",M
EGY,Golf,"Golf Women's Individual",,"Mohamed Abdou El-Souad",M
CHA,Gymnastics,"Gymnastics Men's Club Swinging",,"Brahim Daoud Abdoulaye",M
CMR,Gymnastics,"Gymnastics Men's Floor Exercise",,"Fawziya Abdoulkarim",F
EGY,Gymnastics,"Gymnastics Men's Horizontal Bar",,"Alaa El-Din Abdoun",M
EGY,Gymnastics,"Gymnastics Men's Horse Vault",,"Ibrahim Abdrabbou",M
KAZ,Gymnastics,"Gymnastics Men's Individual All-Around",,"Berik Abdrakhmanov",M
BRU,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",,"Maizurah Abdul Rahim",F
IRQ,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work",,"Mehdi Fahim Abdul Al-Sada",M
KUW,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",,"Bashir Abdullah Abdul Aziz",M
MAS,Gymnastics,"Gymnastics Men's Parallel Bars",,"Chairil Anwar Abdul Aziz",M
MAS,Gymnastics,"Gymnastics Men's Parallel Bars",,"Chairil Anwar Abdul Aziz",M
EGY,Gymnastics,"Gymnastics Men's Pommelled Horse",,"Shaimaa Abdul Aziz",F
EGY,Gymnastics,"Gymnastics Men's Pommelled Horse",,"Shaimaa Abdul Aziz",F
EGY,Gymnastics,"Gymnastics Men's Pommelled Horse",,"Shaimaa Abdul Aziz",F
MAS,Gymnastics,"Gymnastics Men's Rings",,"Mohamed Abdul Hadj",M
BRU,Gymnastics,"Gymnastics Men's Rope Climbing",,"Jefri Kiko Bolkiah Abdul Hakeem",M
BRU,Gymnastics,"Gymnastics Men's Rope Climbing",,"Jefri Kiko Bolkiah Abdul Hakeem",M
SUD,Gymnastics,"Gymnastics Men's Side Horse",,"Mohamed Abdul Hamid",M
IND,Gymnastics,"Gymnastics Men's Team All-Around",,"S. Abdul Hamid",M
IND,Gymnastics,"Gymnastics Men's Team All-Around",,"S. Abdul Hamid",M
IRQ,Gymnastics,"Gymnastics Men's Team All-Around, Free System",,"Hadi Abdul Jabbar",M
IRQ,Gymnastics,"Gymnastics Men's Team All-Around, Free System",,"Hadi Abdul Jabbar",M
KSA,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",,"Mohamed Abed Abdul Jawad",M
SYR,Gymnastics,"Gymnastics Men's Tumbling",,"Anouar Abdul Kader",M
IRQ,Gymnastics,"Gymnastics Women's Balance Beam",,"Talal Hassoun Abdul Kader",M
KUW,Gymnastics,"Gymnastics Women's Floor Exercise",,"Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem",M
KUW,Gymnastics,"Gymnastics Women's Floor Exercise",,"Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem",M
IRQ,Gymnastics,"Gymnastics Women's Horse Vault",,"Taha Abdul Karim",M
QAT,Gymnastics,"Gymnastics Women's Individual All-Around",,"Masoud Abdul Khamis Al-Rahman",M
MDV,Gymnastics,"Gymnastics Women's Team All-Around",,"Abdul Haji Abdul Latheef",M
BRN,Gymnastics,"Gymnastics Women's Team Portable Apparatus",,"Fatima Abdul Majeed Hameed Al-Kirashi",F
KSA,Gymnastics,"Gymnastics Women's Uneven Bars",,"Majed Ahmed Abdul Mohamed",M
IRI,Handball,"Handball Men's Handball",,"Firouz Abdul Mohammadian",M
JOR,Handball,"Handball Women's Handball",,"Hussam Abdul Rahman",M
BRN,Hockey,"Hockey Men's Hockey",,"Mohamed Ghulom Abdul Rahman",M
ETH,Hockey,"Hockey Women's Hockey",,"Suleman Abdul Rahman",M
MAS,"Ice Hockey","Ice Hockey Men's Ice Hockey",,"Zambrose Abdul Rahman",M
IRQ,Judo,"Judo Men's Half-Heavyweight",,"Dana Abdul Razak (Hussain-)",F
IRQ,Judo,"Judo Men's Half-Heavyweight",,"Dana Abdul Razak (Hussain-)",F
IRQ,Judo,"Judo Men's Half-Lightweight",,"A. Abdul Razzak",M
IRQ,Judo,"Judo Men's Half-Lightweight",,"A. Abdul Razzak",M
IRQ,Judo,"Judo Men's Half-Middleweight",,"Mohamed Abdul Razzak",M
PAK,Judo,"Judo Men's Heavyweight",,"Muhammad Abdul Razzaq",M
IRQ,Judo,"Judo Men's Lightweight",,"Hazim Abdul Ridha",M
EGY,Judo,"Judo Men's Middleweight",,"Rauf Abdul Seoud",M
EGY,Judo,"Judo Men's Middleweight",,"Rauf Abdul Seoud",M
KSA,Judo,"Judo Men's Open Class",,"Samir Ahmed Abdul Shakour",M
UAE,Judo,"Judo Women's Extra-Lightweight",,"Nabil Abdul Tahlak",M
YAR,Judo,"Judo Women's Half-Heavyweight",,"Fahmi Ahmed Abdul Wahab Al-Tahri",M
KUW,Judo,"Judo Women's Half-Lightweight",,"Mohamed Abdul Wahab Al-Salah",M
KUW,Judo,"Judo Women's Half-Lightweight",,"Mohamed Abdul Wahab Al-Salah",M
PAK,Judo,"Judo Women's Half-Middleweight",,"Qazi Abdul Waheed",M
INA,Judo,"Judo Women's Heavyweight",,"Patmawati Abdul Wahid",F
IRQ,Judo,"Judo Women's Lightweight",,"Haidar Abdul-Amir Hassan",M
IRQ,Judo,"Judo Women's Middleweight",,"Haidar Abdul-Razzaq Hassan",M
NGR,Lacrosse,"Lacrosse Men's Lacrosse",,"Lawal Kolawole "Kola" Abdulai",M
NGR,Lacrosse,"Lacrosse Men's Lacrosse",,"Lawal Kolawole "Kola" Abdulai",M
NGR,Lacrosse,"Lacrosse Men's Lacrosse",,"Lawal Kolawole "Kola" Abdulai",M
NGR,Lacrosse,"Lacrosse Men's Lacrosse",,"Lawal Kolawole "Kola" Abdulai",M
CAN,"Modern Pentathlon","Modern Pentathlon Men's Individual",,"Rukayatu "Ruky" Abdulai",F
EGY,"Modern Pentathlon","Modern Pentathlon Men's Team",,"Mona Ahmad Abdulaziz Hassanein",F
PHI,Motorboating,"Motorboating Mixed A-Class (Open)",,"Roosevelt M. Abdulgafur",M
PHI,Motorboating,"Motorboating Mixed A-Class (Open)",,"Roosevelt M. Abdulgafur",M
PHI,Motorboating,"Motorboating Mixed A-Class (Open)",,"Roosevelt M. Abdulgafur",M
PHI,Motorboating,"Motorboating Mixed A-Class (Open)",,"Roosevelt M. Abdulgafur",M
PHI,Motorboating,"Motorboating Mixed A-Class (Open)",,"Roosevelt M. Abdulgafur",M
IRQ,Motorboating,"Motorboating Mixed B-Class (Under 60 Feet)",,"Ahmed Abdulkareem Ahmed",M
EGY,Motorboating,"Motorboating Mixed C-Class",,"Gamal Ahmed Abdulla",M
EGY,Polo,"Polo Men's Polo",,"Mohamed Sayed Abdulla",M
QAT,Racquets,"Racquets Men's Doubles",,"Ahmad Hassan Abdullah",M
EGY,Racquets,"Racquets Men's Singles",,"Ahmed Ghanim Abdullah",M
USA,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",,"Aquil Hashim Abdullah (Shumate-)",M
IRQ,"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual",,"Atallah Abdullah",M
EGY,Roque,"Roque Men's Singles",,"Magdy Ahmed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Eights",,"Mohamed Abdullah",M
UAE,Rowing,"Rowing Men's Coxed Fours",,"Mohamed Samy Abdullah",M
IRQ,Rowing,"Rowing Men's Coxed Fours, Inriggers",,"Mohamed Abdullah",M
KUW,Rowing,"Rowing Men's Coxed Fours, Outriggers",,"Osama Abdullah",M
EGY,Rowing,"Rowing Men's Coxed Pairs",,"Tewfik Abdullah",M
MAS,Rowing,"Rowing Men's Coxless Fours",,"Wan Azlan Abdullah",M
MAS,Rowing,"Rowing Men's Coxless Fours",,"Wan Azlan Abdullah",M
MAS,Rowing,"Rowing Men's Coxless Fours",,"Wan Azlan Abdullah",M
MAS,Rowing,"Rowing Men's Coxless Fours",,"Wan Azlan Abdullah",M
SUD,Rowing,"Rowing Men's Double Sculls",,"Abdel Wahab Abdullah Salih",M
SUD,Rowing,"Rowing Men's Double Sculls",,"Abdel Wahab Abdullah Salih",M
NGR,Rowing,"Rowing Men's Lightweight Coxless Fours",,"Abubakar Sadiq Abdullahi",M
AZE,Rowing,"Rowing Men's Lightweight Double Sculls",,"Abdulqdir Abdullayev",M
AZE,Rowing,"Rowing Men's Quadruple Sculls",,"Arif Yadulla Abdullayev",M
AZE,Rowing,"Rowing Men's Quadruple Sculls",,"Arif Yadulla Abdullayev",M
UZB,Rowing,"Rowing Men's Single Sculls",,"Mukhammad Kadyr Abdullayev",M
UZB,Rowing,"Rowing Women's Coxed Eights",,"Muminzhon Abdullayev",M
UZB,Rowing,"Rowing Women's Coxed Eights",,"Muminzhon Abdullayev",M
AZE,Rowing,"Rowing Women's Coxed Fours",,"Namiq Yadulla Abdullayev",M
AZE,Rowing,"Rowing Women's Coxed Quadruple Sculls",,"Laye Abdullayeva",F
AZE,Rowing,"Rowing Women's Coxless Fours",,"lqar Abdulov",M
KUW,Rowing,"Rowing Women's Coxless Pairs",,"Abdullah Abdulrahman Zeyab",M
EGY,Rowing,"Rowing Women's Double Sculls",,"Abir Abdulrahman Khalil Mahmoud Khalil",F
EGY,Rowing,"Rowing Women's Double Sculls",,"Abir Abdulrahman Khalil Mahmoud Khalil",F
UAE,Rowing,"Rowing Women's Lightweight Double Sculls",,"Amer Abdulrahman Abdallah Hussain Al-Hammadi",M
UAE,Rowing,"Rowing Women's Quadruple Sculls",,"Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi",M
EGY,Rowing,"Rowing Women's Single Sculls",,"Shaza Yahia Nazih Abdulrahman El-Sayed",F
EGY,Rowing,"Rowing Women's Single Sculls",,"Shaza Yahia Nazih Abdulrahman El-Sayed",F
EGY,Rowing,"Rowing Women's Single Sculls",,"Shaza Yahia Nazih Abdulrahman El-Sayed",F
KUW,Rugby,"Rugby Men's Rugby",,"Najim Abdulrazak Al-Enazy",M
KUW,"Rugby Sevens","Rugby Sevens Men's Rugby Sevens",,"Zeyad Abdulrazak Al-Khudhur Al-Enazy",M
KUW,"Rugby Sevens","Rugby Sevens Men's Rugby Sevens",,"Zeyad Abdulrazak Al-Khudhur Al-Enazy",M
IRQ,"Rugby Sevens","Rugby Sevens Women's Rugby Sevens",,"Waheed Abdulridha Waheed Karaawi",M
EGY,Sailing,"Sailing Men's One Person Dinghy",,"Mohamed Abdultwab Ibrahim Abd El-Baki",M
EGY,Sailing,"Sailing Men's One Person Dinghy",,"Mohamed Abdultwab Ibrahim Abd El-Baki",M
UZB,Sailing,"Sailing Men's Skiff",,"Sherzod Abdurahmonov",M
KGZ,Sailing,"Sailing Men's Two Person Dinghy",,"Rasul Abduraim",M
KGZ,Sailing,"Sailing Men's Two Person Dinghy",,"Rasul Abduraim",M
UZB,Sailing,"Sailing Men's Two Person Keelboat",,"Bekzod Makhamadzhonovich Abdurakhmonov",M
TJK,Sailing,"Sailing Men's Windsurfer",,"Mukhamadmurod Abdurakhmonov",M
RUS,Sailing,"Sailing Mixed 10 metres",,"Adlan Aliyevich Abdurashidov",M
TJK,Sailing,"Sailing Mixed 12 foot",,"Yusup Abdusalomov",M
TJK,Sailing,"Sailing Mixed 12 foot",,"Yusup Abdusalomov",M
LBA,Sailing,"Sailing Mixed 12 metres",,"Fawzi Abdussalam",M
UZB,Sailing,"Sailing Mixed 18 foot",,"Andrey Khakimovich Abduvaliyev",M
URS,Sailing,"Sailing Mixed 30 metres",,"Dzhamolidin Mirgarifanovich Abduzhaparov",M
UZB,Sailing,"Sailing Mixed 30 metres",,"Dzhamolidin Mirgarifanovich Abduzhaparov",M
KGZ,Sailing,"Sailing Mixed 40 metres",,"Aybek Abdymomunov",M
JPN,Sailing,"Sailing Mixed 5.5 metres",,"Isao Ko Abe",M
JPN,Sailing,"Sailing Mixed 6.5 metres",,"Kazuo Abe",M
JPN,Sailing,"Sailing Mixed 7 metres",,"Kinya Abe",M
JPN,Sailing,"Sailing Mixed 8 metres",,"Kiyoshi Abe",M
JPN,Sailing,"Sailing Mixed One Person Dinghy",,"Naoki Abe",M
JPN,Sailing,"Sailing Mixed One Person Dinghy",,"Naoki Abe",M
JPN,Sailing,"Sailing Mixed Skiff",,"Osamu Abe",M
JPN,Sailing,"Sailing Mixed Three Person Keelboat",,"Shigeaki Abe",M
JPN,Sailing,"Sailing Mixed Three Person Keelboat",,"Shigeaki Abe",M
JPN,Sailing,"Sailing Mixed Two Person Dinghy",,"Shinnosuke Abe",M
JPN,Sailing,"Sailing Mixed Two Person Dinghy",,"Shinnosuke Abe",M
JPN,Sailing,"Sailing Mixed Two Person Heavyweight Dinghy",,"Sanshiro "Sonny" Abe",M
JPN,Sailing,"Sailing Mixed Two Person Keelboat",,"Tadashi Abe",M
JPN,Sailing,"Sailing Mixed Two Person Keelboat",,"Tadashi Abe",M
JPN,Sailing,"Sailing Mixed Two Person Keelboat",,"Tadashi Abe",M
JPN,Sailing,"Sailing Mixed Windsurfer",,"Tadatoshi Abe",M
JPN,Sailing,"Sailing Women's One Person Dinghy",,"Wakako Abe",F
JPN,Sailing,"Sailing Women's Skiff",,"Yoshiyuki Abe",M
JPN,Sailing,"Sailing Women's Three Person Keelboat",,"Yuki Abe",M
CGO,Sailing,"Sailing Women's Two Person Dinghy",,"Angelik Abebame",F
ETH,Sailing,"Sailing Women's Windsurfer",,"Addis Abebe",M
