Länder,Sportart,event,Medallien,"Name Athlet",Geschlecht
ROU,Archery,"Archery Women's Team",,"Andreea Aanei",F
NOR,Archery,"Archery Women's Team Round",,"Fritz Aanes",M
NOR,Archery,"Archery Women's Team Round",,"Fritz Aanes",M
NED,"Art Competitions","Art Competitions Mixed Architecture, Unknown Event",,"Johan Aantjes",M
NOR,"Art Competitions","Art Competitions Mixed Literature",,"Jan-Erik Aarberg",M
NOR,"Art Competitions","Art Competitions Mixed Literature",,"Jan-Erik Aarberg",M
NED,"Art Competitions","Art Competitions Mixed Literature, Epic Works",,"Pepijn Aardewijn",M
EST,"Art Competitions","Art Competitions Mixed Literature, Lyric Works",,"Evald rma (rman-)",M
NOR,"Art Competitions","Art Competitions Mixed Literature, Unknown Event",,"Olav Augunson Aarnes",M
FIN,"Art Competitions","Art Competitions Mixed Music",,"Mika Lauri Aarnikka",M
FIN,"Art Competitions","Art Competitions Mixed Music",,"Mika Lauri Aarnikka",M
FRA,"Art Competitions","Art Competitions Mixed Music, Compositions For Orchestra",,"Jamale (Djamel-) Aarrass (Ahrass-)",M
NED,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber",,"Stefan Remco Aartsen",M
NED,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber",,"Stefan Remco Aartsen",M
NED,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber",,"Stefan Remco Aartsen",M
NED,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber",,"Stefan Remco Aartsen",M
NED,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber",,"Stefan Remco Aartsen",M
NOR,"Art Competitions","Art Competitions Mixed Painting",,"Lars Thorlaksn Aas",M
NOR,"Art Competitions","Art Competitions Mixed Painting",,"Lars Thorlaksn Aas",M
NOR,"Art Competitions","Art Competitions Mixed Painting",,"Lars Thorlaksn Aas",M
NOR,"Art Competitions","Art Competitions Mixed Painting, Drawings And Water Colors",,"Rolf Aas",M
NOR,"Art Competitions","Art Competitions Mixed Painting, Paintings",,"Morten Gjerdrum Aasen",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing",,"Hakon Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals",,"Hans Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals",,"Hans Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals",,"Hans Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals",,"Hans Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals",,"Hans Aasns",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals And Plaques",,"Erling Rudolf Aastad",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals And Plaques",,"Erling Rudolf Aastad",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals And Plaques",,"Erling Rudolf Aastad",M
NOR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals And Plaques",,"Erling Rudolf Aastad",M
MAR,"Art Competitions","Art Competitions Mixed Sculpturing, Medals And Reliefs",,"Abdelhak Aatakni",M
EST,"Art Competitions","Art Competitions Mixed Sculpturing, Reliefs",,"Moonika Aava",F
EST,"Art Competitions","Art Competitions Mixed Sculpturing, Reliefs",,"Moonika Aava",F
EST,"Art Competitions","Art Competitions Mixed Sculpturing, Statues",,"Arvi Aavik",M
