Athlete_ID,event_anzahl,name,sex,Goldmedallien,Silbermedallien,Bronzemmedallien
89893,3,"Simone Osygus (-Brune)",F,0,2,2
90671,2,"Yuliya Vladimirovna Pakhalina",F,1,3,1
91038,3,"Pang Jiaying",F,0,2,2
92142,3,"Ivan Patzaichin",M,4,3,0
92384,2,"Jerzy Wadysaw Pawowski",M,1,3,1
94318,2,"Tibor Pzsa",M,1,0,3
95522,2,"John Michael Plumb",M,2,4,0
96994,3,"Gennady Sergeyevich Prigoda",M,0,2,2
97771,2,"Qin Kai",M,2,1,2
98437,4,"Alexandra Rose "Aly" Raisman",F,3,2,1
102565,4,"Ralph Waldo Rose",M,3,2,1
105256,2,"Arnzazu Isabel Mara "Arantxa" Snchez Vicario",F,0,2,2
108383,2,"Jasna ekari (Brajkovi-)",F,1,3,1
108964,3,"Carl Gunnar Emanuel Setterwall",M,0,2,2
110459,6,"Viorica Daniela Siliva (-Harper)",F,3,2,1
112342,2,"Louis Antoine Smith",M,0,2,2
114573,3,"Renate Stecher (Meiner-)",F,3,2,1
115947,2,"Christine Stckelberger",F,1,3,1
116505,4,"Sun Yang",M,3,2,1
119242,2,"Einari Allan Tersvirta",M,1,0,3
119965,2,"Lesley Allison Thompson-Willie",F,1,3,1
17,4,"Paavo Johannes Aaltonen",M,3,0,2
4472,2,"Paul Eugne Albert Anspach",M,2,2,1
8729,2,"Grgory Benot Baug",M,0,3,1
10048,2,"Meaghan Benfeito",F,0,0,3
10310,3,"Tibor Berczelly (Berczeller-)",M,3,0,2
13969,2,"David Alasdair Boudia",M,1,1,2
16919,2,"Guy Montagu Butler",M,1,1,2
17348,2,"David Cal Figueroa",M,1,4,0
17499,3,"George Charles Calnan",M,0,0,3
18040,2,"Joaqun Capilla Prez",M,1,1,2
20129,2,"Adriana Chelariu-Bazon",F,0,3,1
22966,2,"Iztok op",M,1,1,2
25193,3,"Eleanor Suzanne "Ellie" Daniel (-Drye)",F,1,1,2
28104,2,"Manlio Di Rosa",M,2,2,1
28308,3,"Vasile Dba",M,1,1,2
28368,3,"David Gavin Dickson",M,0,0,3
28449,5,"Ines Diers (-Noack)",F,2,2,1
28817,4,"Charles Percy Dixon",M,1,1,2
30298,2,"Hugues Duboscq",M,0,0,3
32574,5,"Yukio Endo",M,5,2,0
34091,2,"Ildik Farkasinszky-Bbis (Bbis-)",F,0,3,1
34643,5,"Dennis Fenton",M,3,0,2
35175,3,"Jens Fiedler",M,3,0,2
37440,2,"Andrea Fuentes Fache",F,0,3,1
37920,4,"Francis "Frank" Gailey",M,0,3,1
38182,2,"Rossano Galtarossa",M,1,1,2
39209,4,"Mitchell Jay "Mitch" Gaylord",M,1,1,2
40866,4,"Maxi Gnauck",F,1,1,2
41499,2,"Driulys Gonzlez Morales",F,1,1,2
42312,3,"Katherine Jane Grainger",F,1,4,0
44745,3,"Kosuke Hagino",M,1,1,2
45824,3,"Boden Joseph "Bo" Hanson",M,0,0,3
47558,3,"John Frederick Hencken",M,4,1,1
47676,3,"Thor Bernhard Henning",M,0,3,1
47745,2,"Jean-Michel Henry",M,1,1,2
50740,2,"Willem Peter Hubert van Blijenburgh",M,0,0,3
51696,3,"Doina Ignat",F,4,1,1
55245,2,"Per Lennart Johansson",M,0,0,3
56030,3,"Andr Ren Jousseaum",M,2,2,1
57808,4,"Shigeru Kasamatsu",M,1,1,2
59209,2,"Olha Hennadivna Kharlan",F,1,1,2
60274,2,"Kim Su-Nyeong",F,4,1,1
61118,4,"Hans-Joachim Klein",M,0,3,1
63409,2,"Pl dm Kovcs",M,6,0,1
63521,4,"Daniel Steven Kowalski",M,1,1,2
64585,3,"Fritz Kuchen",M,0,0,3
67394,4,"Tamara Vasilyevna Lazakovich",F,1,1,2
68501,3,"Eino Aukusti Leino",M,1,1,2
69093,4,"William David Franz "Bill" Leushner",M,1,1,2
69094,2,"Elena Leutean-Popescu (-Teodorescu)",F,0,0,3
70361,2,"Liselott Linsenhoff (Schindling-, -Rheinberger)",F,2,2,1
70417,2,"Alexandre Auguste Lippmann",M,2,2,1
71644,3,"Lou Yun",M,2,2,1
73425,2,"Jean-Claude Magnan",M,1,1,2
73862,3,"Vadim Gennadyevich Makhnyov",M,1,1,2
81456,2,"Aldo Montano",M,1,1,2
83853,2,"Curtis Allen Myden",M,0,0,3
83864,2,"Paula Jean Myers-Pope",F,0,3,1
85553,2,"Robert Frederick Newbery",M,0,0,3
86438,2,"Stefan Nimke",M,1,1,2
87160,2,"Yelena Dmitriyevna Novikova-Belova",F,4,1,1
88124,3,"Stuart Peter O'Grady",M,1,1,2
88651,4,"Penelope "Penny" Oleksiak",F,1,1,2
88951,2,"Anna Gunilla Olsson",F,1,1,2
91887,2,"Mariya Valeryevna Paseka",F,0,3,1
92771,3,"Aaron Wells Peirsol",M,5,2,0
93706,3,"Nikolaj Pealov",M,1,1,2
94189,3,"Roman Ivanovich Petrushenko",M,1,1,2
95003,2,"Clarence Elmer "Bud" Pinkston",M,1,1,2
95872,4,"Andrea Pollack (-Pinske)",F,3,3,0
97072,4,"Irina Anatolyevna Privalova (Sergeyeva-)",F,1,1,2
97860,4,"Lonce Gaston Quentin",M,0,3,1
99165,2,"Ronald Rauhe",M,1,1,2
